"Código (AMOSTRAGEM BIOLÓGICA - TELEÓSTEOS)";"Data da amostragem";"Código da amostra";"Região";"Amostra foi proveniente de qual atividade";"Informações gerais sobre desembarque / despesca > Nome da unidade produtiva";"Informações gerais sobre desembarque / despesca > Porto de desembarque / despesca";"Informações gerais sobre desembarque / despesca > Data do desembarque / despesca";"Informações gerais sobre desembarque / despesca > Hora do desembarque / despesca";"Informações gerais sobre a arte de pesca > Arte de pesca";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Armadilhas";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Arrastos";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Emalhes";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Espinheis";"Informações gerais sobre a arte de pesca > Arte de pesca níve II - Linhas";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Outros";"Informações sobre a faína de pesca > Período dedicado à faína de pesca";"Informações sobre a faína de pesca > Tempo médio de duração da faína de pesca";"Informações sobre as capturas > Captura total da viagem (kg)";"Informações sobre as capturas > Captura total da espécie (kg)";"Local da coleta (Latitude)";"Local da coleta (Longitude)";"Local de edição (Latitude)";"Local de edição (Longitude)";"Criado por";"Atualizado por";"Criado em";"Criado em (horário do dispositivo)";"Atualizado em"
"1.1232235";"07/11/2024";"#145";"Região Centro-Sul";"Pesca artesanal";"Lag Sto Antonio dos Anjos";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"25/02/2025 10:46";"25/02/2025 10:46";"13/03/2025 10:22"
"1.1232212";"07/11/2024";"#144";"Região Centro-Sul";"Pesca artesanal";"Imaruí";"";"";"";"Outros";"";"";"";"";"";"";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"25/02/2025 10:37";"25/02/2025 10:37";"13/03/2025 10:22"
"1.1232193";"07/11/2024";"#143";"Região Centro-Sul";"Pesca artesanal";"Imaruí";"";"";"";"Armadilha";"Aviãozinho";"";"";"";"";"";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"25/02/2025 10:30";"25/02/2025 10:30";"13/03/2025 10:21"
"1.1232153";"07/11/2024";"#142";"Região Centro-Sul";"Pesca artesanal";"Perrexil";"";"";"";"Arrasto";"";"Berimbau";"";"";"";"";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"25/02/2025 10:15";"25/02/2025 10:15";"13/03/2025 10:19"
"1.1231710";"07/11/2024";"#141";"Região Centro-Sul";"Pesca artesanal";"Barranceira";"";"";"";"Arrasto";"";"Berimbau";"";"";"";"";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"24/02/2025 17:37";"24/02/2025 17:37";"13/03/2025 10:18"
"1.1231688";"06/11/2024";"#140";"Região Centro-Sul";"Pesca artesanal";"Lag Sto Antonio dos Anjos";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"";"";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"24/02/2025 17:21";"24/02/2025 17:21";"13/03/2025 10:16"
"1.1231682";"06/11/2024";"#139";"Região Centro-Sul";"Pesca artesanal";"Lag Sto Antonio dos Anjos";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"24/02/2025 17:17";"24/02/2025 17:17";"13/03/2025 10:14"
"1.1231630";"05/11/2024";"#138";"Região Centro-Sul";"Pesca artesanal";"Lag Sto Antonio dos Anjos";"";"";"";"Espinhel";"";"";"";"Espinhel de superfície";"";"";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"24/02/2025 16:42";"24/02/2025 16:42";"13/03/2025 10:08"
"1.1231617";"04/11/2024";"#137";"Região Centro-Sul";"Pesca artesanal";"Lag Sto Antonio dos Anjos";"";"";"";"Outros";"";"";"";"";"";"Tarrafa";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"24/02/2025 16:34";"24/02/2025 16:34";"13/03/2025 10:06"
"1.1231566";"01/11/2024";"#136";"Região Centro-Sul";"Pesca artesanal";"Lag Sto Antonio dos Anjos";"";"";"";"Outros";"";"";"";"";"";"Tarrafa";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"24/02/2025 16:06";"24/02/2025 16:06";"13/03/2025 09:49"
"1.1231543";"01/11/2024";"#135";"Região Centro-Sul";"Pesca artesanal";"Lag Sto Antonio dos Anjos";"";"";"";"Emalhe";"";"";"";"";"";"";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"24/02/2025 15:52";"24/02/2025 15:52";"13/03/2025 09:49"
"1.1231510";"01/11/2024";"#134";"Região Centro-Sul";"Pesca artesanal";"Lag Sto Antonio dos Anjos";"";"";"";"Outros";"";"";"";"";"";"Tarrafa";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"24/02/2025 15:34";"24/02/2025 15:34";"13/03/2025 09:47"
"1.1231468";"01/11/2024";"#133";"Região Centro-Sul";"Pesca artesanal";"Lag Sto Antonio dos Anjos";"";"";"";"Outros";"";"";"";"";"";"Tarrafa";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"24/02/2025 15:16";"24/02/2025 15:16";"13/03/2025 09:46"
"1.1231404";"28/10/2024";"#131";"Região Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"24/02/2025 14:53";"24/02/2025 14:53";"13/03/2025 09:43"
"1.1231370";"31/10/2024";"#132";"Região Centro-Sul";"Pesca artesanal";"JC";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"24/02/2025 14:36";"24/02/2025 14:36";"12/03/2025 09:43"
"1.1231356";"30/10/2024";"#130";"Região Centro-Sul";"Pesca artesanal";"JC";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"24/02/2025 14:30";"24/02/2025 14:30";"12/03/2025 09:43"
"1.1231271";"30/10/2024";"#128";"Região Centro-Sul";"Pesca artesanal";"JC";"";"";"";"Outros";"";"";"";"";"";"Tarrafa";"";"";"";"";"-26,9090816";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"24/02/2025 12:05";"24/02/2025 12:05";"12/03/2025 09:42"
"1.1229223";"30/10/2024";"#129";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9123584";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Tainá Guimarães Julio";"20/02/2025 14:15";"20/02/2025 14:15";"18/03/2025 13:02"
"1.1229161";"30/10/2024";"#127";"Região Centro-Sul";"Pesca artesanal";"JC";"";"";"";"Emalhe";"";"";"";"";"";"";"";"";"";"";"-26,9123584";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"20/02/2025 13:25";"20/02/2025 13:25";"12/03/2025 09:23"
"1.1229106";"29/10/2024";"#126";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9123584";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"20/02/2025 11:57";"20/02/2025 11:57";"12/03/2025 09:22"
"1.1228874";"28/10/2024";"#125";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9123584";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"20/02/2025 10:32";"20/02/2025 10:32";"12/03/2025 09:05"
"1.1228801";"25/10/2024";"#124";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9123584";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"20/02/2025 09:51";"20/02/2025 09:51";"12/03/2025 08:46"
"1.1228774";"25/10/2024";"#123";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9123584";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"20/02/2025 09:39";"20/02/2025 09:39";"12/03/2025 08:45"
"1.1228768";"24/10/2024";"#122";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-26,9123584";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"20/02/2025 09:31";"20/02/2025 09:31";"12/03/2025 08:44"
"1.1228536";"24/10/2024";"#121";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9123584";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"19/02/2025 17:36";"19/02/2025 17:36";"11/03/2025 16:18"
"1.1228492";"22/10/2024";"#120";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9123584";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"19/02/2025 16:59";"19/02/2025 16:59";"11/03/2025 16:17"
"1.1228466";"22/10/2024";"#115";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9123584";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"19/02/2025 16:38";"19/02/2025 16:38";"11/03/2025 16:16"
"1.1228316";"17/10/2024";"#114";"Região Centro-Sul";"Pesca artesanal";"Praia do Sol";"";"";"";"Arrasto";"";"Arrasto de praia";"";"";"";"";"";"";"";"";"-26,9123584";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"19/02/2025 15:20";"19/02/2025 15:20";"11/03/2025 16:15"
"1.1228270";"24/10/2024";"#119";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-26,9123584";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Tainá Guimarães Julio";"19/02/2025 15:03";"19/02/2025 15:03";"18/03/2025 12:55"
"1.1228237";"24/10/2024";"#118";"Região Centro-Sul";"Pesca artesanal";"Santo Antônio";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9123584";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"19/02/2025 14:47";"19/02/2025 14:47";"11/03/2025 16:14"
"1.1228198";"24/10/2024";"#117";"Região Centro-Sul";"Pesca artesanal";"Santo Antônio";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9123584";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"19/02/2025 13:45";"19/02/2025 13:45";"11/03/2025 16:13"
"1.1228192";"08/10/2024";"#116";"Região Centro-Sul";"Pesca artesanal";"Perrexil";"";"";"";"Armadilha";"Aviãozinho";"";"";"";"";"";"";"";"";"";"-26,9123584";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"19/02/2025 13:31";"19/02/2025 13:31";"11/03/2025 16:13"
"1.1228182";"17/10/2024";"#113";"Região Centro-Sul";"Pesca artesanal";"Praia do Sol";"";"";"";"Arrasto";"";"Arrasto de praia";"";"";"";"";"";"";"";"";"-26,9123584";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"19/02/2025 13:12";"19/02/2025 13:12";"11/03/2025 16:12"
"1.1228126";"06/10/2024";"#112";"Região Central";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-26,9123584";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Tainá Guimarães Julio";"19/02/2025 11:44";"19/02/2025 11:44";"18/03/2025 13:54"
"1.1228091";"16/10/2024";"#110";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9123584";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Tainá Guimarães Julio";"19/02/2025 11:24";"19/02/2025 11:24";"18/03/2025 12:51"
"1.1227947";"15/10/2024";"#109";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9123584";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"19/02/2025 10:05";"19/02/2025 10:05";"11/03/2025 14:25"
"1.1227915";"15/10/2024";"#108";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Espinhel";"";"";"";"Espinhel de fundo";"";"";"";"";"";"";"-26,9123584";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"19/02/2025 09:45";"19/02/2025 09:45";"11/03/2025 14:17"
"1.1227595";"14/10/2024";"#107";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-26,9254656";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"18/02/2025 16:54";"18/02/2025 16:54";"11/03/2025 14:11"
"1.1227529";"14/10/2024";"#106";"Região Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-26,9254656";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"18/02/2025 16:23";"18/02/2025 16:23";"11/03/2025 14:09"
"1.1227504";"13/10/2024";"#105";"Região Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-26,9254656";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"18/02/2025 16:08";"18/02/2025 16:08";"11/03/2025 14:07"
"1.1227490";"09/10/2024";"#104";"Região Sul";"Pesca industrial";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9254656";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"18/02/2025 16:01";"18/02/2025 16:01";"11/03/2025 14:06"
"1.1227470";"10/10/2024";"#103";"Região Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-26,9254656";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"18/02/2025 15:52";"18/02/2025 15:52";"11/03/2025 14:05"
"1.1227410";"06/10/2024";"#102";"Região Centro-Sul";"Pesca artesanal";"JC";"";"";"";"Outros";"";"";"";"";"";"Tarrafa";"";"";"";"";"-26,9254656";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"18/02/2025 15:23";"18/02/2025 15:23";"11/03/2025 14:01"
"1.1227353";"09/10/2024";"#101";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-26,9254656";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Tainá Guimarães Julio";"18/02/2025 14:49";"18/02/2025 14:49";"18/03/2025 13:48"
"1.1227323";"07/10/2024";"#100";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-26,9254656";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"18/02/2025 14:38";"18/02/2025 14:38";"11/03/2025 13:58"
"1.1227284";"07/10/2024";"#099";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9254656";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"18/02/2025 14:15";"18/02/2025 14:15";"11/03/2025 13:57"
"1.1227271";"07/10/2024";"#098";"Região Centro-Sul";"Pesca artesanal";"JC";"";"";"";"Outros";"";"";"";"";"";"Tarrafa";"";"";"";"";"-26,9254656";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"18/02/2025 13:59";"18/02/2025 13:59";"11/03/2025 13:56"
"1.1227267";"07/10/2024";"#097";"Região Centro-Sul";"Pesca artesanal";"Caputera";"";"";"";"Arrasto";"";"Berimbau";"";"";"";"";"";"";"";"";"-26,9254656";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"18/02/2025 13:56";"18/02/2025 13:56";"11/03/2025 13:49"
"1.1227179";"08/10/2024";"#096";"Região Centro-Sul";"Pesca artesanal";"Perrexil";"";"";"";"Armadilha";"Aviãozinho";"";"";"";"";"";"";"";"";"";"-26,9254656";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"18/02/2025 12:13";"18/02/2025 12:13";"11/03/2025 13:45"
"1.1227084";"08/10/2024";"#095";"Região Centro-Sul";"Pesca artesanal";"Imaruí";"";"";"";"Armadilha";"Aviãozinho";"";"";"";"";"";"";"";"";"";"-26,9254656";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Tainá Guimarães Julio";"18/02/2025 11:10";"18/02/2025 11:10";"18/03/2025 12:45"
"1.1227076";"08/10/2024";"#094";"Região Centro-Sul";"Pesca artesanal";"Barranceira";"";"";"";"Armadilha";"Aviãozinho";"";"";"";"";"";"";"";"";"";"-26,9254656";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"18/02/2025 11:02";"18/02/2025 11:02";"11/03/2025 13:37"
"1.1226955";"08/10/2024";"#093";"Região Centro-Sul";"Pesca artesanal";"Caputera";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-26,9254656";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"18/02/2025 09:44";"18/02/2025 09:44";"11/03/2025 13:36"
"1.1226668";"08/10/2024";"#091";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9254656";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"17/02/2025 17:03";"17/02/2025 17:03";"11/03/2025 13:34"
"1.1226517";"06/10/2024";"#090";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9254656";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"17/02/2025 15:32";"17/02/2025 15:32";"11/03/2025 13:29"
"1.1226504";"05/10/2024";"#089";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-26,9254656";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"17/02/2025 15:19";"17/02/2025 15:19";"11/03/2025 13:26"
"1.1226379";"06/10/2024";"#088";"Região Centro-Sul";"Pesca artesanal";"Tesoura";"";"";"";"Outros";"";"";"";"";"";"Tarrafa";"";"";"";"";"-26,9254656";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"17/02/2025 13:50";"17/02/2025 13:50";"11/03/2025 13:25"
"1.1226373";"03/10/2024";"#087";"Região Centro-Sul";"Pesca artesanal";"JC";"";"";"";"Outros";"";"";"";"";"";"Tarrafa";"";"";"";"";"-26,9254656";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"17/02/2025 13:31";"17/02/2025 13:31";"11/03/2025 13:24"
"1.1226368";"02/10/2024";"#086";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-26,9254656";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"17/02/2025 13:28";"17/02/2025 13:27";"11/03/2025 13:23"
"1.1226343";"02/10/2024";"#085";"Região Centro-Sul";"Pesca artesanal";"JC";"";"";"";"Outros";"";"";"";"";"";"Tarrafa";"";"";"";"";"-26,9254656";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"17/02/2025 11:53";"17/02/2025 11:53";"11/03/2025 13:22"
"1.1226340";"02/10/2024";"#084";"Região Centro-Sul";"Pesca artesanal";"JC";"";"";"";"Outros";"";"";"";"";"";"Tarrafa";"";"";"";"";"-26,9254656";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"17/02/2025 11:49";"17/02/2025 11:49";"11/03/2025 13:21"
"1.1226332";"01/10/2024";"#083";"Região Centro-Sul";"Pesca artesanal";"Gelatina";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9254656";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Tainá Guimarães Julio";"17/02/2025 11:43";"17/02/2025 11:43";"18/03/2025 12:43"
"1.1226204";"30/09/2024";"#082";"Região Centro-Sul";"Pesca artesanal";"Gelatina";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9254656";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"17/02/2025 10:22";"17/02/2025 10:22";"11/03/2025 13:16"
"1.1226020";"27/09/2024";"#081";"Região Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-26,9254656";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"17/02/2025 08:55";"17/02/2025 08:55";"25/03/2025 09:19"
"1.1226013";"27/09/2024";"#080";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-26,9254656";"-48,6670336";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"17/02/2025 08:50";"17/02/2025 08:50";"11/03/2025 11:56"
"1.1224959";"27/09/2024";"#079";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-26,9221888";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"14/02/2025 11:30";"14/02/2025 11:30";"11/03/2025 11:12"
"1.1224852";"26/09/2024";"#077";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9221888";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"14/02/2025 10:48";"14/02/2025 10:48";"11/03/2025 11:02"
"1.1224799";"25/09/2024";"#076";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9221888";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"14/02/2025 10:25";"14/02/2025 10:25";"11/03/2025 11:00"
"1.1224393";"25/09/2024";"#075";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9221888";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"13/02/2025 16:52";"13/02/2025 16:52";"11/03/2025 10:53"
"1.1224055";"24/09/2024";"#074";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9221888";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"13/02/2025 11:25";"13/02/2025 11:25";"11/03/2025 10:46"
"1.1223933";"22/09/2024";"#073";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9221888";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"13/02/2025 09:29";"13/02/2025 09:29";"11/03/2025 10:44"
"1.1223926";"23/09/2024";"#072";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9221888";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"13/02/2025 09:19";"13/02/2025 09:19";"11/03/2025 10:24"
"1.1223921";"23/09/2024";"#071";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9221888";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Tainá Guimarães Julio";"13/02/2025 08:59";"13/02/2025 08:59";"18/03/2025 13:45"
"1.1223735";"17/07/2024";"#070";"Região Central";"Pesca artesanal";"";"";"";"";"Arrasto";"";"Arrasto de praia";"";"";"";"";"";"";"";"";"-26,9221888";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"12/02/2025 18:21";"12/02/2025 18:21";"11/03/2025 10:23"
