"Código (AMOSTRAGEM BIOLÓGICA - TELEÓSTEOS)";"Data da amostragem";"Código da amostra";"Região";"Amostra foi proveniente de qual atividade";"Informações gerais sobre desembarque / despesca > Nome da unidade produtiva";"Informações gerais sobre desembarque / despesca > Porto de desembarque / despesca";"Informações gerais sobre desembarque / despesca > Data do desembarque / despesca";"Informações gerais sobre desembarque / despesca > Hora do desembarque / despesca";"Informações gerais sobre a arte de pesca > Arte de pesca";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Armadilhas";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Arrastos";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Emalhes";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Espinheis";"Informações gerais sobre a arte de pesca > Arte de pesca níve II - Linhas";"Informações gerais sobre a arte de pesca > Arte de pesca nível II - Outros";"Informações sobre a faína de pesca > Período dedicado à faína de pesca";"Informações sobre a faína de pesca > Tempo médio de duração da faína de pesca";"Informações sobre as capturas > Captura total da viagem (kg)";"Informações sobre as capturas > Captura total da espécie (kg)";"Local da coleta (Latitude)";"Local da coleta (Longitude)";"Local de edição (Latitude)";"Local de edição (Longitude)";"Criado por";"Atualizado por";"Criado em";"Criado em (horário do dispositivo)";"Atualizado em"
"1.1247012";"05/03/2025";"#199";"Região Centro-Sul";"Pesca artesanal";"Imaruí";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-27,5054592";"-48,644096";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"21/03/2025 16:37";"21/03/2025 16:37";"28/03/2025 09:06"
"1.1247010";"14/01/2025";"#182";"Região Sul";"Pesca artesanal";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-27,5054592";"-48,644096";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"";"21/03/2025 16:33";"21/03/2025 16:33";""
"1.1247007";"31/01/2025";"#185";"Região Centro-Sul";"Pesca artesanal";"Molhes da Barra";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-27,5054592";"-48,644096";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"";"21/03/2025 16:22";"21/03/2025 16:22";""
"1.1246999";"13/03/2025";"#205";"Região Centro-Sul";"Pesca artesanal";"Cabeçuda";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-27,5054592";"-48,644096";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"";"21/03/2025 16:14";"21/03/2025 16:14";""
"1.1246971";"29/01/2025";"#176";"Região Centro-Sul";"Pesca artesanal";"Tesoura";"";"";"";"Outros";"";"";"";"";"";"Tarrafa";"";"";"";"";"-27,5054592";"-48,644096";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"21/03/2025 15:24";"21/03/2025 15:24";"24/03/2025 11:14"
"1.1243969";"05/03/2025";"#204";"Região Centro-Sul";"Pesca artesanal";"Barranceira";"";"";"";"Armadilha";"Aviãozinho";"";"";"";"";"";"";"";"";"";"-27,5021824";"-48,6473728";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"";"17/03/2025 14:36";"17/03/2025 14:36";""
"1.1243804";"28/02/2025";"#198";"Região Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-27,5021824";"-48,6473728";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"17/03/2025 11:40";"17/03/2025 11:40";"07/04/2025 11:10"
"1.1243724";"15/02/2025";"#202";"Região Sul";"Pesca artesanal";"";"";"";"";"Outros";"";"";"";"";"";"Coleta manual";"";"";"";"";"-27,5021824";"-48,6473728";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"";"17/03/2025 10:54";"17/03/2025 10:54";""
"1.1243716";"15/02/2025";"#201";"Região Centro-Sul";"Pesca artesanal";"Imaruí";"";"";"";"Arrasto";"";"Arrasto de praia";"";"";"";"";"";"";"";"";"-27,5021824";"-48,6473728";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"";"17/03/2025 10:48";"17/03/2025 10:48";""
"1.1243704";"21/02/2025";"#200";"Região Centro-Sul";"Pesca artesanal";"Barranceira";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-27,5021824";"-48,6473728";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"";"17/03/2025 10:43";"17/03/2025 10:43";""
"1.1240032";"12/09/2024";"#062";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de fundo";"";"";"";"";"";"";"";"-26,9221888";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"";"10/03/2025 09:41";"10/03/2025 09:41";""
"1.1234342";"26/01/2025";"#173";"Região Centro-Sul";"Pesca artesanal";"JC";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-26,9123584";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"27/02/2025 12:42";"27/02/2025 12:42";"13/03/2025 11:57"
"1.1234316";"21/06/2024";"#184";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-26,9123584";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"27/02/2025 12:13";"27/02/2025 12:13";"13/03/2025 11:55"
"1.1234292";"03/02/2025";"#190";"Região Centro-Sul";"Pesca artesanal";"Imaruí";"";"";"";"Armadilha";"Aviãozinho";"";"";"";"";"";"";"";"";"";"-26,9123584";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"27/02/2025 12:00";"27/02/2025 12:00";"13/03/2025 11:50"
"1.1234280";"18/12/2024";"#165";"Região Centro-Sul";"Pesca artesanal";"";"";"";"";"Emalhe";"";"";"Redes de superfície";"";"";"";"";"";"";"";"-26,9123584";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"27/02/2025 11:52";"27/02/2025 11:52";"13/03/2025 11:49"
"1.1234258";"11/02/2025";"#196";"Região Centro-Sul";"Pesca artesanal";"Imaruí";"";"";"";"Arrasto";"";"Arrasto de praia";"";"";"";"";"";"";"";"";"-26,9123584";"-48,6637568";"0,00";"0,00";"Marcos Vinicius Barros da Silva";"Marcos Vinicius Barros da Silva";"27/02/2025 11:33";"27/02/2025 11:33";"13/03/2025 11:48"
