"Código (AMOSTRAGEM BIOLÓGICA - TELEÓSTEOS)";"Código (Amostragem Biológica - Organismo à Organismo)";"Amostragem Biológica - Organismo à Organismo > ID - Amostra";"Amostragem Biológica - Organismo à Organismo > ID - Indivíduo";"Amostragem Biológica - Organismo à Organismo > Espécie amostrada (Código)";"Amostragem Biológica - Organismo à Organismo > Espécie amostrada (Rótulo)";"Amostragem Biológica - Organismo à Organismo > Sexo";"Amostragem Biológica - Organismo à Organismo > Estágio de maturação - Macho";"Amostragem Biológica - Organismo à Organismo > Estágio de maturação - Fêmea";"Amostragem Biológica - Organismo à Organismo > Comprimento total - CT (cm)";"Amostragem Biológica - Organismo à Organismo > Comprimento padrão - CP (cm)";"Amostragem Biológica - Organismo à Organismo > Peso total - PT (g)";"Amostragem Biológica - Organismo à Organismo > Peso eviscerado - PEvis (g)";"Amostragem Biológica - Organismo à Organismo > Peso do fígado - PFig (g)";"Amostragem Biológica - Organismo à Organismo > Peso do estômago - PEst (g)";"Amostragem Biológica - Organismo à Organismo > Peso da gônoda - PGon (g)";"Amostragem Biológica - Organismo à Organismo > Armazenamento de apêndices do organismo processado > Houve armazenamento das gônadas para análise posterior?";"Amostragem Biológica - Organismo à Organismo > Armazenamento de apêndices do organismo processado > Houve armazenamento do estômago para análise posterior?";"Amostragem Biológica - Organismo à Organismo > Armazenamento de apêndices do organismo processado > Houve armazenamento de músculo para análise posterior?";"Amostragem Biológica - Organismo à Organismo > Armazenamento de apêndices do organismo processado > Houve armazenamento de otólitos para análise posterior?";"Amostragem Biológica - Organismo à Organismo > Armazenamento de apêndices do organismo processado > Selecione qual dos otólitos foi reservado para amostragem posterior"
"1.1263554";"1.1263554.0";"219";"1616";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"39,5";"30,1";"655,92";"574,94";"13,68";"13,16";"";"";"";"";"";""
"1.1263554";"1.1263554.1";"219";"1617";"1.1092731";"Mugil liza";"Macho (M)";"C - Maturo";"";"40,4";"31,3";"707,19";"613,37";"16,41";"9,14";"9,71";"";"";"";"";""
"1.1263554";"1.1263554.2";"219";"1618";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"";"27,4";"532,03";"447,39";"8,81";"10,1";"";"";"";"";"";""
"1.1263554";"1.1263554.3";"219";"1619";"1.1092731";"Mugil liza";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"31,00";"24,4";"305,22";"270,99";"4,26";"13,14";"0,6";"";"";"";"";""
"1.1263554";"1.1263554.4";"219";"1620";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"35,9";"26,9";"453,97";"391,1";"3,54";"11,74";"";"";"";"";"";""
"1.1263554";"1.1263554.5";"219";"1621";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"33,00";"25,00";"355,97";"318,73";"4,68";"10,09";"";"";"";"";"";""
"1.1263554";"1.1263554.6";"219";"1622";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"36,6";"25,4";"346,28";"321,88";"3,00";"7,9";"0,56";"";"";"";"";""
"1.1263554";"1.1263554.7";"219";"1623";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"31,6";"24,6";"315,22";"283,05";"4,84";"8,9";"";"";"";"";"";""
"1.1263554";"1.1263554.8";"219";"1624";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"33,00";"26,00";"401,5";"355,68";"7,36";"8,36";"";"";"";"";"";""
"1.1263554";"1.1263554.9";"219";"1625";"1.1110147";"Micropogonias furnieri";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"30,00";"24,4";"242,74";"225,19";"";"";"1,07";"";"";"";"";""
"1.1263538";"1.1263538.0";"218";"1609";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"12,4";"9,6";"19,09";"";"0,217";"0,721";"";"";"";"";"";""
"1.1263538";"1.1263538.1";"218";"1610";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"12,4";"9,7";"10,76";"";"0,253";"0,955";"";"";"";"";"";""
"1.1263538";"1.1263538.2";"218";"1611";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"13,6";"10,5";"24,38";"";"0,327";"0,924";"";"";"";"";"";""
"1.1263538";"1.1263538.3";"218";"1612";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"14,2";"11,5";"30,15";"";"";"1,201";"";"";"";"";"";""
"1.1263538";"1.1263538.4";"218";"1613";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"15,2";"12,8";"43,26";"";"";"1,501";"";"";"";"";"";""
"1.1263538";"1.1263538.5";"218";"1614";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"17,6";"13,8";"56,7";"";"0,856";"2,262";"";"";"";"";"";""
"1.1263538";"1.1263538.6";"218";"1615";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"17,8";"14,00";"62,39";"";"1,027";"2,759";"";"";"";"";"";""
"1.1263492";"1.1263492.0";"220";"1607";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"10,3";"7,8";"12,14";"";"0,126";"0,466";"";"";"";"";"";""
"1.1263492";"1.1263492.1";"220";"1608";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"10,5";"8,1";"11,06";"";"0,7";"0,37";"";"";"";"";"";""
"1.1263481";"1.1263481.0";"222";"1595";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"36,5";"28,2";"505,14";"457,59";"9,85";"9,7";"4,38";"";"";"";"";""
"1.1263481";"1.1263481.1";"222";"1596";"1.1092731";"Mugil liza";"Macho (M)";"C - Maturo";"";"40,1";"31,6";"657,65";"612,9";"12,4";"8,35";"9,15";"";"";"";"";""
"1.1263481";"1.1263481.2";"222";"1597";"1.1092731";"Mugil liza";"Macho (M)";"C - Maturo";"";"39,8";"31,6";"588,53";"545,35";"5,75";"6,63";"15,9";"";"";"";"";""
"1.1263481";"1.1263481.3";"222";"1598";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"41,00";"32,6";"627,78";"597,64";"10,76";"7,44";"13,28";"";"";"";"";""
"1.1263481";"1.1263481.4";"222";"1599";"1.1092731";"Mugil liza";"Macho (M)";"C - Maturo";"";"43,2";"33,9";"805,02";"739,01";"14,26";"12,41";"22,23";"";"";"";"";""
"1.1263481";"1.1263481.5";"222";"1600";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"36,2";"28,00";"522,06";"457,37";"7,42";"15,26";"6,05";"";"";"";"";""
"1.1263481";"1.1263481.6";"222";"1601";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"36,00";"28,5";"483,14";"451,03";"8,33";"7,75";"1,66";"";"";"";"";""
"1.1263481";"1.1263481.7";"222";"1602";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"35,8";"27,1";"435,83";"405,76";"5,61";"9,39";"0,319";"";"";"";"";""
"1.1263481";"1.1263481.8";"222";"1603";"1.1092731";"Mugil liza";"Macho (M)";"C - Maturo";"";"37,2";"28,5";"510,01";"469,64";"7,09";"6,95";"8,8";"";"";"";"";""
"1.1263481";"1.1263481.9";"222";"1604";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"37,5";"28,5";"487,7";"439,87";"7,51";"10,81";"0,593";"";"";"";"";""
"1.1263481";"1.1263481.10";"222";"1605";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"33,1";"25,5";"407,05";"376,02";"5,21";"7,84";"1,38";"";"";"";"";""
"1.1263481";"1.1263481.11";"222";"1606";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"36,4";"28,4";"479,68";"440,36";"6,84";"9,38";"4,85";"";"";"";"";""
"1.1263428";"1.1263428.0";"221";"1589";"1.1092731";"Mugil liza";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"49,00";"38,2";"1267,72";"1111,57";"";"29,2";"2,158";"";"";"";"";""
"1.1263428";"1.1263428.1";"221";"1590";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"49,00";"37,6";"1180,78";"1073,9";"";"21,71";"1,894";"";"";"";"";""
"1.1263428";"1.1263428.2";"221";"1591";"1.1092731";"Mugil liza";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"48,5";"37,6";"1136,69";"969,92";"";"25,9";"2,347";"";"";"";"";""
"1.1263428";"1.1263428.3";"221";"1592";"1.1092731";"Mugil liza";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"47,3";"37,3";"969,16";"847,4";"9,6";"24,15";"1,568";"";"";"";"";""
"1.1263428";"1.1263428.4";"221";"1593";"1.1092731";"Mugil liza";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"47,00";"36,8";"999,25";"870,00";"14,2";"23,25";"1,267";"";"";"";"";""
"1.1263428";"1.1263428.5";"221";"1594";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"44,5";"34,6";"798,9";"700,77";"6,88";"18,19";"0,393";"";"";"";"";""
"1.1261983";"1.1261983.0";"217";"1583";"1.1092731";"Mugil liza";"Macho (M)";"C - Maturo";"";"36,8";"29,00";"477,07";"440,44";"10,01";"4,64";"9,35";"";"";"";"";""
"1.1261983";"1.1261983.1";"217";"1584";"1.1092731";"Mugil liza";"Macho (M)";"C - Maturo";"";"41,3";"31,7";"674,94";"611,54";"15,15";"8,75";"16,59";"";"";"";"";""
"1.1261983";"1.1261983.2";"217";"1585";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"38,2";"30,4";"598,95";"559,04";"9,2";"5,41";"3,64";"";"";"";"";""
"1.1261983";"1.1261983.3";"217";"1586";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"37,4";"28,5";"480,39";"444,09";"7,54";"6,46";"6,05";"";"";"";"";""
"1.1261983";"1.1261983.4";"217";"1587";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"38,4";"29,6";"597,2";"550,74";"12,1";"7,02";"7,28";"";"";"";"";""
"1.1261983";"1.1261983.5";"217";"1588";"1.1092731";"Mugil liza";"Macho (M)";"C - Maturo";"";"37,5";"29,2";"573,28";"527,53";"12,16";"6,24";"5,21";"";"";"";"";""
"1.1261883";"1.1261883.0";"166";"1566";"1.1092731";"Mugil liza";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"33,2";"26,3";"400,53";"352,6";"9,322";"8,672";"0,177";"";"";"";"";""
"1.1261873";"1.1261873.0";"212";"1562";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"18,5";"14,00";"";"680,95";"0,65";"1,55";"0,001";"";"";"";"";""
"1.1261873";"1.1261873.1";"212";"1563";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"17,2";"13,1";"56,8";"44,72";"0,84";"2,66";"0,001";"";"";"";"";""
"1.1261854";"1.1261854.0";"214";"1559";"1.1092731";"Mugil liza";"Macho (M)";"C - Maturo";"";"41,5";"31,6";"796,17";"665,54";"15,35";"11,14";"32,94";"";"";"";"";""
"1.1261854";"1.1261854.1";"214";"1560";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"44,1";"34,4";"844,09";"684,54";"19,9";"15,31";"17,9";"";"";"";"";""
"1.1261854";"1.1261854.2";"214";"1561";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"44,6";"35,4";"812,48";"684,67";"12,72";"10,44";"24,39";"";"";"";"";""
"1.1261835";"1.1261835.0";"213";"1557";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"32,8";"25,4";"350,19";"320,05";"5,144";"8,124";"0,126";"";"";"";"";""
"1.1261835";"1.1261835.1";"213";"1558";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"35,7";"27,5";"435,14";"397,399";"5,935";"8,84";"0,395";"";"";"";"";""
"1.1261835";"1.1261835.2";"213";"1564";"1.1092731";"Mugil liza";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"35,4";"27,5";"444,83";"404,21";"6,733";"11,167";"0,133";"";"";"";"";""
"1.1261835";"1.1261835.3";"213";"1565";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"41,1";"33,4";"725,07";"660,51";"12,666";"14,88";"0,371";"";"";"";"";""
"1.1261835";"1.1261835.4";"213";"1567";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"35,2";"28,1";"440,78";"392,54";"6,008";"10,081";"0,133";"";"";"";"";""
"1.1261835";"1.1261835.5";"213";"1568";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"37,6";"28,7";"526,57";"477,8";"6,786";"13,176";"0,177";"";"";"";"";""
"1.1261835";"1.1261835.6";"213";"1569";"1.1092731";"Mugil liza";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"39,2";"30,8";"676,4";"596,18";"13,095";"14,683";"2,508";"";"";"";"";""
"1.1261835";"1.1261835.7";"213";"1570";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"39,8";"30,9";"707,13";"639,04";"9,286";"18,551";"0,32";"";"";"";"";""
"1.1261835";"1.1261835.8";"213";"1572";"1.1092731";"Mugil liza";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"37,00";"28,4";"556,91";"469,73";"8,588";"13,25";"0,299";"";"";"";"";""
"1.1261835";"1.1261835.9";"213";"1573";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"36,3";"28,1";"528,13";"488,33";"7,113";"9,381";"0,228";"";"";"";"";""
"1.1261835";"1.1261835.10";"213";"1574";"1.1092731";"Mugil liza";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"42,00";"32,9";"803,1";"741,52";"9,436";"14,598";"0,75";"";"";"";"";""
"1.1261835";"1.1261835.11";"213";"1575";"1.1110147";"Micropogonias furnieri";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"27,00";"21,4";"209,76";"193,86";"1,368";"1,87";"0,74";"";"";"";"";""
"1.1254652";"1.1254652.0";"211";"1548";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"17,3";"13,00";"54,09";"46,84";"";"2,16";"0,001";"";"";"";"";""
"1.1254652";"1.1254652.1";"211";"1549";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"18,00";"13,7";"58,8";"52,71";"";"1,8";"0,001";"";"";"";"";""
"1.1254652";"1.1254652.2";"211";"1550";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"16,7";"12,6";"49,00";"44,05";"";"1,8";"0,001";"";"";"";"";""
"1.1254652";"1.1254652.3";"211";"1551";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"15,5";"11,8";"41,5";"34,62";"";"1,98";"0,001";"";"";"";"";""
"1.1254652";"1.1254652.4";"211";"1552";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"14,00";"10,7";"29,5";"26,00";"";"0,9";"0,001";"";"";"";"";""
"1.1254652";"1.1254652.5";"211";"1553";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"13,1";"10,00";"24,01";"21,00";"";"0,86";"0,001";"";"";"";"";""
"1.1254652";"1.1254652.6";"211";"1554";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"13,00";"9,9";"22,91";"20,3";"";"0,84";"0,001";"";"";"";"";""
"1.1254652";"1.1254652.7";"211";"1555";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"12,00";"9,2";"17,53";"15,35";"";"0,61";"0,001";"";"";"";"";""
"1.1254652";"1.1254652.8";"211";"1556";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"11,00";"8,5";"13,32";"11,41";"";"0,47";"0,001";"";"";"";"";""
"1.1254605";"1.1254605.0";"171";"1546";"1.1110147";"Micropogonias furnieri";"Fêmea (F)";"";"D - Desovado";"60,2";"48,00";"2737,29";"2529,82";"18,18";"";"53,49";"";"";"";"";""
"1.1254605";"1.1254605.1";"171";"1547";"1.1110147";"Micropogonias furnieri";"Fêmea (F)";"";"D - Desovado";"54,3";"43,1";"1776,8";"1640,28";"";"";"37,89";"";"";"";"";""
"1.1254550";"1.1254550.0";"175";"1544";"1.1110167";"Pomatomus saltatrix";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"24,9";"18,6";"143,2";"129,37";"2,36";"5,35";"0,54";"";"";"";"";""
"1.1254550";"1.1254550.1";"175";"1545";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"35,1";"27,2";"426,23";"382,62";"5,06";"6,02";"0,49";"";"";"";"";""
"1.1254451";"1.1254451.0";"210";"1541";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"19,5";"16,00";"81,63";"69,78";"1,65";"2,48";"0,001";"";"";"";"";""
"1.1254451";"1.1254451.1";"210";"1542";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"16,7";"13,5";"55,43";"47,15";"1,27";"1,58";"0,001";"";"";"";"";""
"1.1254451";"1.1254451.2";"210";"1543";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"";"16,00";"90,66";"80,18";"1,66";"2,45";"0,001";"";"";"";"";""
"1.1251949";"1.1251949.0";"209";"1530";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"27,3";"20,8";"211,27";"185,15";"3,23";"5,96";"0,063";"";"";"";"";""
"1.1251949";"1.1251949.1";"209";"1531";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"19,5";"14,7";"78,11";"68,68";"0,83";"3,04";"0,001";"";"";"";"";""
"1.1251949";"1.1251949.2";"209";"1532";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"21,2";"16,5";"114,61";"94,75";"1,785";"4,77";"0,001";"";"";"";"";""
"1.1251949";"1.1251949.3";"209";"1533";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"20,6";"16,00";"97,32";"85,45";"1,41";"3,46";"0,001";"";"";"";"";""
"1.1251949";"1.1251949.4";"209";"1534";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"12,4";"9,3";"19,95";"16,66";"";"1,01";"0,001";"";"";"";"";""
"1.1251949";"1.1251949.5";"209";"1535";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"17,4";"14,6";"52,62";"";"";"";"0,001";"";"";"";"";""
"1.1251949";"1.1251949.6";"209";"1536";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"20,6";"15,8";"92,65";"81,96";"";"";"0,001";"";"";"";"";""
"1.1251949";"1.1251949.7";"209";"1537";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"18,9";"14,2";"70,95";"62,64";"1,26";"2,25";"0,001";"";"";"";"";""
"1.1251949";"1.1251949.8";"209";"1538";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"";"20,8";"217,89";"194,67";"2,57";"6,29";"0,12";"";"";"";"";""
"1.1251949";"1.1251949.9";"209";"1539";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"13,6";"10,4";"28,39";"24,33";"0,37";"1,51";"0,001";"";"";"";"";""
"1.1251949";"1.1251949.10";"209";"1540";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"18,8";"14,1";"66,09";"58,91";"";"2,39";"0,001";"";"";"";"";""
"1.1248822";"1.1248822.0";"208";"1508";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"11,6";"9,3";"16,44";"";"";"";"";"";"";"";"";""
"1.1248822";"1.1248822.1";"208";"1509";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"11,9";"9,5";"17,75";"";"";"";"";"";"";"";"";""
"1.1248822";"1.1248822.2";"208";"1510";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"12,2";"9,6";"18,99";"";"";"";"";"";"";"";"";""
"1.1248822";"1.1248822.3";"208";"1511";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"13,00";"9,7";"22,85";"";"";"";"";"";"";"";"";""
"1.1248822";"1.1248822.4";"208";"1512";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"13,1";"10,1";"21,77";"";"";"";"";"";"";"";"";""
"1.1248822";"1.1248822.5";"208";"1513";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"13,5";"10,5";"24,7";"";"";"";"";"";"";"";"";""
"1.1248822";"1.1248822.6";"208";"1514";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"12,5";"9,6";"19,86";"";"";"";"";"";"";"";"";""
"1.1248822";"1.1248822.7";"208";"1515";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"14,3";"11,2";"28,08";"";"";"";"";"";"";"";"";""
"1.1248822";"1.1248822.8";"208";"1516";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"13,3";"10,2";"24,53";"";"";"";"";"";"";"";"";""
"1.1248822";"1.1248822.9";"208";"1517";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"17,4";"13,2";"50,95";"";"";"";"";"";"";"";"";""
"1.1248822";"1.1248822.10";"208";"1518";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"17,5";"13,4";"47,00";"";"";"";"";"";"";"";"";""
"1.1248822";"1.1248822.11";"208";"1519";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"15,4";"12,00";"38,65";"";"";"";"";"";"";"";"";""
"1.1248822";"1.1248822.12";"208";"1520";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"16,8";"13,4";"54,00";"";"";"";"";"";"";"";"";""
"1.1248822";"1.1248822.13";"208";"1521";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"16,2";"12,7";"43,82";"";"";"";"";"";"";"";"";""
"1.1248822";"1.1248822.14";"208";"1522";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"18,5";"14,4";"67,64";"";"";"";"";"";"";"";"";""
"1.1248822";"1.1248822.15";"208";"1523";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"21,5";"16,6";"91,12";"";"";"";"";"";"";"";"";""
"1.1248767";"1.1248767.0";"207";"1501";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"41,5";"33,00";"665,00";"";"";"";"8,591";"";"";"";"";""
"1.1248767";"1.1248767.1";"207";"1502";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"39,8";"29,7";"635,00";"";"";"";"12,543";"";"";"";"";""
"1.1248767";"1.1248767.2";"207";"1503";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"38,5";"29,6";"605,00";"";"";"";"11,678";"";"";"";"";""
"1.1248767";"1.1248767.3";"207";"1504";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"39,1";"30,6";"640,00";"";"";"";"10,284";"";"";"";"";""
"1.1248767";"1.1248767.4";"207";"1505";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"40,2";"30,5";"600,00";"";"";"";"11,348";"";"";"";"";""
"1.1248767";"1.1248767.5";"207";"1506";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"39,2";"29,6";"550,00";"";"";"";"9,743";"";"";"";"";""
"1.1248767";"1.1248767.6";"207";"1507";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"38,4";"29,4";"575,00";"";"";"";"10,811";"";"";"";"";""
"1.1248734";"1.1248734.0";"170";"1489";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"28,7";"22,3";"226,2";"";"";"";"";"";"";"";"";""
"1.1248734";"1.1248734.1";"170";"1490";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"28,2";"21,6";"209,87";"";"";"";"";"";"";"";"";""
"1.1248734";"1.1248734.2";"170";"1493";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"28,00";"22,1";"199,6";"";"";"";"";"";"";"";"";""
"1.1248734";"1.1248734.3";"170";"1524";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"30,4";"25,4";"261,2";"";"";"";"";"";"";"";"";""
"1.1247043";"1.1247043.0";"206";"1482";"1.1092731";"Mugil liza";"Fêmea (F)";"";"D - Desovado";"47,1";"36,7";"941,5";"854,44";"16,701";"16,221";"13,683";"Sim";"";"";"";""
"1.1247043";"1.1247043.1";"206";"1483";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"40,8";"31,4";"697,05";"631,57";"6,86";"11,823";"2,161";"";"";"";"";""
"1.1247043";"1.1247043.2";"206";"1484";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"40,6";"31,7";"629,36";"566,26";"9,725";"7,502";"8,61";"";"";"";"";""
"1.1247043";"1.1247043.3";"206";"1485";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"41,2";"31,8";"659,59";"588,59";"10,023";"10,231";"3,46";"";"";"";"";""
"1.1247043";"1.1247043.4";"206";"1486";"1.1092731";"Mugil liza";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"42,00";"32,00";"602,29";"563,37";"8,698";"11,541";"2,361";"";"";"";"";""
"1.1247043";"1.1247043.5";"206";"1487";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"38,5";"29,2";"513,8";"460,57";"7,718";"7,763";"9,693";"";"";"";"";""
"1.1247012";"1.1247012.0";"199";"1107";"1.1092731";"Mugil liza";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"39,8";"30,6";"686,24";"595,62";"10,671";"17,837";"2,001";"";"";"";"";""
"1.1247012";"1.1247012.1";"199";"1469";"1.1092731";"Mugil liza";"Macho (M)";"B - Em maturação / Em desenvolvimento";"";"34,3";"26,00";"419,59";"376,68";"4,185";"11,413";"0,025";"";"";"";"";""
"1.1247012";"1.1247012.2";"199";"1470";"1.1092731";"Mugil liza";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"35,2";"27,2";"526,43";"444,32";"7,615";"12,561";"0,214";"";"";"";"";""
"1.1247012";"1.1247012.3";"199";"1471";"1.1092731";"Mugil liza";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"24,4";"18,6";"161,36";"141,28";"2,104";"6,951";"0,316";"";"";"";"";""
"1.1247012";"1.1247012.4";"199";"1472";"1.1092731";"Mugil liza";"Indeterminado (I)";"";"";"22,1";"16,5";"117,18";"102,88";"1,159";"4,97";"0,039";"";"";"";"";""
"1.1247012";"1.1247012.5";"199";"1473";"1.1110147";"Micropogonias furnieri";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"26,1";"20,00";"192,68";"174,92";"0,846";"1,49";"0,914";"";"";"";"";""
"1.1247012";"1.1247012.6";"199";"1474";"1.1092731";"Mugil liza";"Fêmea (F)";"";"B - Em maturação / Em desenvolvimento";"37,8";"29,9";"597,2";"534,55";"6,713";"12,85";"1,75";"";"";"";"";""
